Project Name, Issue URL, PR URL, Line Change, Fix duration (days), Category
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/1403,https://github.com/ludwig-ai/ludwig/pull/1410,83,4,ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/1911,https://github.com/ludwig-ai/ludwig/pull/1912,4,0,ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/2243,https://github.com/ludwig-ai/ludwig/pull/2445,61,6,ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/1262,https://github.com/ludwig-ai/ludwig/pull/1269,567,58,ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/484,https://github.com/ludwig-ai/ludwig/pull/1174,409,651,ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/1389,https://github.com/ludwig-ai/ludwig/pull/1402,14,5,ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/1613,https://github.com/ludwig-ai/ludwig/pull/1663,5,20,ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/828,https://github.com/ludwig-ai/ludwig/pull/829,1,0,ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/1889,https://github.com/ludwig-ai/ludwig/pull/1893,4,0,ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/296,https://github.com/ludwig-ai/ludwig/pull/367,112,54,ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/1871,https://github.com/ludwig-ai/ludwig/pull/1872,1,0,ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/1030,https://github.com/ludwig-ai/ludwig/pull/1031,132,25,ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/1991,https://github.com/ludwig-ai/ludwig/pull/1992,45,37,ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/2186,https://github.com/ludwig-ai/ludwig/pull/2191,28,0,ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/2169,https://github.com/ludwig-ai/ludwig/pull/2170,18,0,ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/1181,https://github.com/ludwig-ai/ludwig/pull/1326,1,128,ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/1093,https://github.com/ludwig-ai/ludwig/pull/1103,402,141,ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/2851,https://github.com/ludwig-ai/ludwig/pull/2852,6,0,ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/2144,https://github.com/ludwig-ai/ludwig/pull/2175,0,26,ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/268,https://github.com/ludwig-ai/ludwig/pull/1174,409,780,ml
philipperemy/keras-tcn,https://github.com/philipperemy/keras-tcn/issues/121,https://github.com/philipperemy/keras-tcn/pull/122,1,1,ml
philipperemy/keras-tcn,https://github.com/philipperemy/keras-tcn/issues/5,https://github.com/philipperemy/keras-tcn/pull/6,3,9,ml
atomistic-machine-learning/schnetpack,https://github.com/atomistic-machine-learning/schnetpack/issues/250,https://github.com/atomistic-machine-learning/schnetpack/pull/261,11,87,ml
atomistic-machine-learning/schnetpack,https://github.com/atomistic-machine-learning/schnetpack/issues/165,https://github.com/atomistic-machine-learning/schnetpack/pull/216,2,380,ml
catalyst-team/catalyst,https://github.com/catalyst-team/catalyst/issues/130,https://github.com/catalyst-team/catalyst/pull/182,355,55,ml
sktime/sktime,https://github.com/sktime/sktime/issues/2444,https://github.com/sktime/sktime/pull/2609,28,0,ml
sktime/sktime,https://github.com/sktime/sktime/issues/1290,https://github.com/sktime/sktime/pull/1232,2307,344,ml
sktime/sktime,https://github.com/sktime/sktime/issues/1678,https://github.com/sktime/sktime/pull/1944,13,238,ml
sktime/sktime,https://github.com/sktime/sktime/issues/3192,https://github.com/sktime/sktime/pull/3232,264,20,ml
sktime/sktime,https://github.com/sktime/sktime/issues/1746,https://github.com/sktime/sktime/pull/2100,334,102,ml
sktime/sktime,https://github.com/sktime/sktime/issues/2799,https://github.com/sktime/sktime/pull/2855,500,77,ml
sktime/sktime,https://github.com/sktime/sktime/issues/2849,https://github.com/sktime/sktime/pull/2850,22,35,ml
sktime/sktime,https://github.com/sktime/sktime/issues/4067,https://github.com/sktime/sktime/pull/4075,74,6,ml
sktime/sktime,https://github.com/sktime/sktime/issues/1079,https://github.com/sktime/sktime/pull/2609,28,327,ml
sktime/sktime,https://github.com/sktime/sktime/issues/2696,https://github.com/sktime/sktime/pull/2382,97,5,ml
sktime/sktime,https://github.com/sktime/sktime/issues/2511,https://github.com/sktime/sktime/pull/2512,12,6,ml
sktime/sktime,https://github.com/sktime/sktime/issues/3009,https://github.com/sktime/sktime/pull/3129,30,16,ml
sktime/sktime,https://github.com/sktime/sktime/issues/2233,https://github.com/sktime/sktime/pull/2234,799,70,ml
sktime/sktime,https://github.com/sktime/sktime/issues/3474,https://github.com/sktime/sktime/pull/3481,539,8,ml
sktime/sktime,https://github.com/sktime/sktime/issues/1687,https://github.com/sktime/sktime/pull/1874,131,111,ml
sktime/sktime,https://github.com/sktime/sktime/issues/3907,https://github.com/sktime/sktime/pull/3915,111,11,ml
sktime/sktime,https://github.com/sktime/sktime/issues/2968,https://github.com/sktime/sktime/pull/2970,6,3,ml
sktime/sktime,https://github.com/sktime/sktime/issues/3816,https://github.com/sktime/sktime/pull/3820,11,12,ml
sktime/sktime,https://github.com/sktime/sktime/issues/1364,https://github.com/sktime/sktime/pull/2458,8,241,ml
sktime/sktime,https://github.com/sktime/sktime/issues/3748,https://github.com/sktime/sktime/pull/3760,17,8,ml
sktime/sktime,https://github.com/sktime/sktime/issues/3159,https://github.com/sktime/sktime/pull/3167,29,2,ml
sktime/sktime,https://github.com/sktime/sktime/issues/2573,https://github.com/sktime/sktime/pull/3010,30,84,ml
sktime/sktime,https://github.com/sktime/sktime/issues/2247,https://github.com/sktime/sktime/pull/2248,406,107,ml
sktime/sktime,https://github.com/sktime/sktime/issues/3315,https://github.com/sktime/sktime/pull/3340,2,5,ml
sktime/sktime,https://github.com/sktime/sktime/issues/2441,https://github.com/sktime/sktime/pull/2454,118,3,ml
sktime/sktime,https://github.com/sktime/sktime/issues/3084,https://github.com/sktime/sktime/pull/3085,29,9,ml
sktime/sktime,https://github.com/sktime/sktime/issues/2935,https://github.com/sktime/sktime/pull/2991,41,34,ml
sktime/sktime,https://github.com/sktime/sktime/issues/3191,https://github.com/sktime/sktime/pull/3233,262,47,ml
sktime/sktime,https://github.com/sktime/sktime/issues/3153,https://github.com/sktime/sktime/pull/3171,482,142,ml
sktime/sktime,https://github.com/sktime/sktime/issues/2386,https://github.com/sktime/sktime/pull/2418,15,5,ml
sktime/sktime,https://github.com/sktime/sktime/issues/3169,https://github.com/sktime/sktime/pull/3231,37,16,ml
sktime/sktime,https://github.com/sktime/sktime/issues/3372,https://github.com/sktime/sktime/pull/3386,556,31,ml
intel/dffml,https://github.com/intel/dffml/issues/254,https://github.com/intel/dffml/pull/268,129,296,ml
intel/dffml,https://github.com/intel/dffml/issues/537,https://github.com/intel/dffml/pull/634,126,38,ml
intel/dffml,https://github.com/intel/dffml/issues/316,https://github.com/intel/dffml/pull/340,0,10,ml
intel/dffml,https://github.com/intel/dffml/issues/1181,https://github.com/intel/dffml/pull/1226,5,51,ml
intel/dffml,https://github.com/intel/dffml/issues/435,https://github.com/intel/dffml/pull/634,126,75,ml
autonomio/talos,https://github.com/autonomio/talos/issues/106,https://github.com/autonomio/talos/pull/109,216,15,ml
pyro-ppl/funsor,https://github.com/pyro-ppl/funsor/issues/573,https://github.com/pyro-ppl/funsor/pull/589,71,156,ml
pyro-ppl/funsor,https://github.com/pyro-ppl/funsor/issues/70,https://github.com/pyro-ppl/funsor/pull/161,141,695,ml
pyro-ppl/funsor,https://github.com/pyro-ppl/funsor/issues/19,https://github.com/pyro-ppl/funsor/pull/36,20,4,ml
pyro-ppl/funsor,https://github.com/pyro-ppl/funsor/issues/9,https://github.com/pyro-ppl/funsor/pull/47,3,17,ml
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/637,https://github.com/kymatio/kymatio/pull/670,11,90,ml
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/461,https://github.com/kymatio/kymatio/pull/459,551,909,ml
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/374,https://github.com/kymatio/kymatio/pull/380,84,63,ml
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/568,https://github.com/kymatio/kymatio/pull/578,19,3,ml
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/801,https://github.com/kymatio/kymatio/pull/888,16,83,ml
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/522,https://github.com/kymatio/kymatio/pull/527,48,0,ml
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/451,https://github.com/kymatio/kymatio/pull/449,261,1,ml
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/902,https://github.com/kymatio/kymatio/pull/919,48,38,ml
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/542,https://github.com/kymatio/kymatio/pull/576,0,25,ml
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/811,https://github.com/kymatio/kymatio/pull/889,6,34,ml
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/775,https://github.com/kymatio/kymatio/pull/883,16,288,ml
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/868,https://github.com/kymatio/kymatio/pull/890,2,6,ml
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/418,https://github.com/kymatio/kymatio/pull/534,376,173,ml
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/663,https://github.com/kymatio/kymatio/pull/667,4,496,ml
